Event,Zone,Start_Date,End_Date,Fatalities,Injured
Bushfire - Victoria,Victoria,1/01/2006,,4,6
"Bushfire - Black Saturday, Victoria",Victoria,7/02/2009,8/02/2009,173,414
Bushfire - Great Divide Complex ,Victoria,1/12/2006,7/02/2007,1,1400
Bushfire - Victoria,Victoria,31/12/2005,31/01/2006,4,6
Bushfire - Eyre Peninsula,South Australia,10/01/2005,12/01/2005,9,110
"Bushfire � Mt Ku-ring-gai, New South Wales 2000",New South Wales,8/06/2000,8/06/2000,4,3
Bushfire - Dandenong Ranges and Mornington Peninsula,Victoria,19/01/1997,21/01/1997,3,40
Bushfire - Cootamundra and Deniliquin Regions,New South Wales,17/01/1987,20/01/1987,3,20
Bushfire - Lara and Melbourne Fringe,Victoria,8/01/1969,9/01/1969,23,100
Bushfire - Wandilo,South Australia,5/04/1958,6/04/1958,8,3
"Criminal Act - Bourke Street Mall Incident, 2017",Victoria,20/01/2017,,6,37
Criminal Act - Port Arthur Shooting Massacre,Tasmania,28/04/1996,28/04/1996,35,21
"Criminal - Terrigal Shootings, Sydney 1992 ",New South Wales,27/10/1992,,6,1
Criminal Act - Kings Cross Hostel,New South Wales,17/09/1989,17/09/1989,6,18
Criminal Act - Queen Street Shooting,Victoria,8/12/1987,8/12/1987,9,5
Criminal Act - Hoddle Street Shooting,Victoria,9/08/1987,9/08/1987,7,19
Criminal Act - Sydney Nursing Home,New South Wales,29/04/1981,29/04/1981,16,51
Criminal Act - Savoy Hotel Arson,New South Wales,25/12/1975,25/12/1975,15,22
Cyclone George,Western Australia,3/03/2007,8/03/2007,3,20
Cyclone Justin,Queensland,6/03/1997,24/03/1997,2,20
Cyclone Hazel,Western Australia,1/03/1979,1/03/1979,15,5
Cyclone Tracy,Northern Territory,25/12/1974,25/12/1974,71,650
Cyclone Althea,Queensland,24/12/1971,27/12/1971,3,25
"Cyclone - Broome, Lacepede Islands",Western Australia,25/03/1935,,142,1
Earthquake - Newcastle,New South Wales,28/12/1989,29/12/1989,13,160
Health - South East Queensland Heatwave,Queensland,20/01/2000,24/01/2000,22,350
Health -  Oodnadatta Heatwave,South Australia,31/12/1959,3/01/1960,13,18
Health - Melbourne and Northern Victoria Legionnaires' Disease Outbreak,Victoria,11/04/2000,27/04/2000,4,131
Health - Food Poisoning Outbreak,South Australia,1/11/1994,1/02/1995,1,22
"Flood - Black February. Brisbane, Ipswich and Maryborough",Queensland,01/02/1893,15/02/1893,35,300
Flood - Katherine Floods,Northern Territory,25/01/1998,2/02/1998,3,30
Flood - Boonah,Queensland,7/02/1991,11/02/1991,3,10
Flood - Dalby,Queensland,1/02/1981,1/02/1981,1,5
Flood - Brisbane River,Queensland,25/01/1974,29/01/1974,13,300
Flood - Melbourne and Victoria ,Victoria,29/11/1934,1/12/1934,36,400
Industrial - Longford Gas explision,Victoria,25/09/1998,14/10/1998,2,8
Industrial - Bulli Mine,New South Wales,23/03/1887,23/03/1887,81,3
Industrial - Broken Hill Mine Collapse,New South Wales,18/07/1895,18/07/1895,9,1
